appid,name,developer,publisher,score_rank,positive,negative,userscore,owners,average_forever,average_2weeks,median_forever,median_2weeks,price,initialprice,discount,languages,genre,ccu,tags
10,Counter-Strike,Valve,Valve,,230243,6010,0,"10,000,000 .. 20,000,000",8663,169,154,95,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,13122,"{'Action': 5470, 'FPS': 4896, 'Multiplayer': 3442, 'Shooter': 3392, 'Classic': 2819, 'Team-Based': 1896, 'First-Person': 1736, 'Competitive': 1631, 'Tactical': 1370, ""1990's"": 1230, 'e-sports': 1215, 'PvP': 907, 'Old School': 806, 'Military': 646, 'Strategy': 630, 'Survival': 312, 'Score Attack': 296, '1980s': 276, 'Assassin': 237, 'Nostalgia': 179}"
20,Team Fortress Classic,Valve,Valve,,7032,1065,0,"5,000,000 .. 10,000,000",68,0,20,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,68,"{'Action': 763, 'FPS': 327, 'Multiplayer': 277, 'Classic': 252, 'Hero Shooter': 223, 'Shooter': 221, 'Team-Based': 201, 'Class-Based': 195, 'First-Person': 186, ""1990's"": 157, 'Old School': 121, 'Co-op': 98, 'Competitive': 82, 'Fast-Paced': 72, 'Retro': 68, 'Online Co-Op': 60, 'Violent': 55, 'Funny': 39, 'Mod': 39, 'Remake': 38}"
30,Day of Defeat,Valve,Valve,,6062,667,0,"5,000,000 .. 10,000,000",619,0,29,0,499,499,0,"English, French, German, Italian, Spanish - Spain",Action,90,"{'FPS': 798, 'World War II': 269, 'Multiplayer': 212, 'Shooter': 193, 'Action': 164, 'War': 158, 'Team-Based': 137, 'Classic': 129, 'First-Person': 108, 'Class-Based': 83, 'Military': 71, 'Historical': 62, 'Tactical': 45, 'Singleplayer': 43, 'Co-op': 36, 'Retro': 22, 'Old School': 21, 'Difficult': 21, 'Strategy': 15, 'World War I': 12}"
40,Deathmatch Classic,Valve,Valve,,2423,514,0,"5,000,000 .. 10,000,000",15,0,13,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,3,"{'Action': 635, 'FPS': 150, 'Classic': 115, 'Multiplayer': 106, 'Shooter': 100, 'First-Person': 80, 'Arena Shooter': 56, 'Old School': 43, 'Sci-fi': 36, 'Competitive': 29, 'Fast-Paced': 23, 'Retro': 20, 'Gore': 20, 'Co-op': 15, 'Difficult': 14, ""1990's"": 14, 'Singleplayer': 6}"
50,Half-Life: Opposing Force,Gearbox Software,Valve,,20819,1061,0,"2,000,000 .. 5,000,000",215,0,94,0,499,499,0,"English, French, German, Korean",Action,103,"{'FPS': 915, 'Action': 349, 'Classic': 280, 'Sci-fi': 274, 'Singleplayer': 253, 'Shooter': 242, 'First-Person': 213, 'Aliens': 202, ""1990's"": 157, 'Adventure': 135, 'Atmospheric': 123, 'Military': 122, 'Story Rich': 95, 'Silent Protagonist': 89, 'Great Soundtrack': 72, 'Gore': 56, 'Puzzle': 55, 'Moddable': 43, 'Co-op': 42, 'Retro': 37}"
60,Ricochet,Valve,Valve,,4617,993,0,"5,000,000 .. 10,000,000",7,0,2,0,499,499,0,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action,6,"{'Action': 590, 'FPS': 133, 'Multiplayer': 116, 'Classic': 95, 'First-Person': 85, 'Sci-fi': 59, 'Shooter': 57, 'Space': 46, 'Cyberpunk': 38, 'Psychological Horror': 32, 'Memes': 31, 'Platformer': 31, 'Retro': 29, '3D': 29, 'Conspiracy': 29, 'Old School': 27, 'Cult Classic': 25, 'Competitive': 22, 'Sports': 11, 'Great Soundtrack': 10}"
70,Half-Life,Valve,Valve,,121126,4283,0,"10,000,000 .. 20,000,000",364,42,123,42,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,970,"{'FPS': 2408, 'Classic': 1908, ""1990's"": 1899, 'Singleplayer': 1896, 'Sci-fi': 1896, 'Multiplayer': 1895, 'Shooter': 1871, 'Action': 1868, 'First-Person': 1866, 'Aliens': 1852, 'Story Rich': 1848, 'Silent Protagonist': 1844, 'Atmospheric': 1836, 'Moddable': 1808, 'Adventure': 1799, 'Gore': 1797, 'Retro': 1794, 'Action-Adventure': 1787, 'Difficult': 1769, 'PvP': 1745}"
80,Counter-Strike: Condition Zero,Valve,Valve,,22612,2149,0,"5,000,000 .. 10,000,000",426,0,33,0,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,410,"{'Action': 1376, 'FPS': 1039, 'Shooter': 767, 'Multiplayer': 631, 'First-Person': 476, 'Singleplayer': 418, 'Classic': 402, 'Tactical': 381, 'Team-Based': 324, 'Competitive': 310, 'Military': 186, 'Online Co-Op': 180, 'Strategy': 176, 'Adventure': 87, 'Survival': 66, 'Atmospheric': 65, 'Old School': 57, 'Open World': 39, 'Dark': 38, 'Simulation': 35}"
100,Counter-Strike: Condition Zero,Valve,Valve,,13442,1535,0,"10,000,000 .. 20,000,000",143,1,36,1,999,999,0,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action,51,"{'Action': 1339, 'FPS': 979, 'Shooter': 723, 'Multiplayer': 582, 'First-Person': 435, 'Classic': 379, 'Singleplayer': 360, 'Tactical': 355, 'Team-Based': 303, 'Competitive': 288, 'Strategy': 173, 'Online Co-Op': 162, 'Military': 151, 'Masterpiece': 87, 'Adventure': 83, 'Survival': 73, 'Atmospheric': 56, 'Open World': 51, 'Simulation': 38, 'Dark': 38}"
130,Half-Life: Blue Shift,Gearbox Software,Valve,,14752,1275,0,"5,000,000 .. 10,000,000",273,0,76,0,499,499,0,"English, French, German",Action,35,"{'FPS': 484, 'Action': 304, 'Sci-fi': 234, 'Singleplayer': 213, 'Shooter': 190, 'Aliens': 174, 'Classic': 162, 'First-Person': 157, 'Zombies': 110, 'Adventure': 103, ""1990's"": 93, 'Short': 91, 'Atmospheric': 85, 'Silent Protagonist': 66, 'Story Rich': 59, 'Puzzle': 36, 'Moddable': 34, 'Great Soundtrack': 32, 'Retro': 32, 'Old School': 23}"
