appid,name,positive,negative,owners,average_forever,median_forever,languages,tags,total reviews,review_rating
10,Counter-Strike,230243,6010,10000000-20000000,8663,154,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action;FPS;Multiplayer,236253,10.0
20,Team Fortress Classic,7032,1065,5000000-10000000,68,20,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action;FPS;Multiplayer,8097,9.0
30,Day of Defeat,6062,667,5000000-10000000,619,29,"English, French, German, Italian, Spanish - Spain",FPS;World War II;Multiplayer,6729,9.0
40,Deathmatch Classic,2423,514,5000000-10000000,15,13,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action;FPS;Classic,2937,8.0
50,Half-Life: Opposing Force,20819,1061,2000000-5000000,215,94,"English, French, German, Korean",FPS;Action;Classic,21880,10.0
60,Ricochet,4617,993,5000000-10000000,7,2,"English, French, German, Italian, Spanish - Spain, Korean, Russian, Simplified Chinese, Traditional Chinese",Action;FPS;Multiplayer,5610,8.0
70,Half-Life,121126,4283,10000000-20000000,364,123,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",FPS;Classic;1990's,125409,10.0
80,Counter-Strike: Condition Zero,22612,2149,5000000-10000000,426,33,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action;FPS;Shooter,24761,9.0
100,Counter-Strike: Condition Zero,13442,1535,10000000-20000000,143,36,"English, French, German, Italian, Spanish - Spain, Simplified Chinese, Traditional Chinese, Korean",Action;FPS;Shooter,14977,9.0
130,Half-Life: Blue Shift,14752,1275,5000000-10000000,273,76,"English, French, German",FPS;Action;Sci-fi,16027,9.0
220,Half-Life 2,186154,4540,5000000-10000000,654,278,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai",FPS;Action;Sci-fi,190694,10.0
240,Counter-Strike: Source,163149,6282,10000000-20000000,6257,336,"English, French, German, Italian, Japanese, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Turkish",Shooter;FPS;Action,169431,10.0
280,Half-Life: Source,10496,4519,2000000-5000000,179,53,"English, French, German, Italian, Japanese, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Thai, Korean",FPS;Action;Classic,15015,7.0
300,Day of Defeat: Source,19696,1804,5000000-10000000,1031,171,English,FPS;World War II;Multiplayer,21500,9.0
320,Half-Life 2: Deathmatch,11529,1180,10000000-20000000,362,56,English,Action;FPS;Multiplayer,12709,9.0
340,Half-Life 2: Lost Coast,11582,1415,20000000-50000000,25,18,"English, French, German, Italian, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Korean",FPS;Action;Singleplayer,12997,9.0
360,Half-Life Deathmatch: Source,3005,1045,5000000-10000000,23,8,English,Action;FPS;Multiplayer,4050,7.0
380,Half-Life 2: Episode One,28256,1266,2000000-5000000,231,188,"English, French, German, Italian, Korean, Spanish - Spain, Russian, Simplified Chinese, Traditional Chinese, Dutch, Danish, Finnish, Japanese, Norwegian, Polish, Portuguese - Portugal, Swedish, Thai",FPS;Action;Sci-fi,29522,10.0
400,Portal,153201,2347,10000000-20000000,258,159,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian",Puzzle;Puzzle-Platformer;First-Person,155548,10.0
420,Half-Life 2: Episode Two,38118,1152,5000000-10000000,389,309,"English, French, German, Russian, Danish, Dutch, Finnish, Italian, Japanese, Korean, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese",FPS;Action;Sci-fi,39270,10.0
440,Team Fortress 2,976788,64364,50000000-100000000,10797,367,"English, Danish, Dutch, Finnish, French, German, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Russian, Simplified Chinese, Spanish - Spain, Swedish, Traditional Chinese, Korean, Czech, Hungarian, Portuguese - Brazil, Turkish, Greek, Bulgarian, Romanian, Thai, Ukrainian",Free to Play;Hero Shooter;Multiplayer,1041152,9.0
500,Left 4 Dead,53192,2035,5000000-10000000,858,171,"English, French, German, Spanish - Spain, Russian, Danish, Dutch, Finnish, Italian, Japanese, Norwegian, Polish, Portuguese - Portugal, Simplified Chinese, Swedish, Traditional Chinese, Korean, Bulgarian, Czech, Greek, Hungarian, Portuguese - Brazil, Romanian, Spanish - Latin America, Thai, Turkish, Ukrainian, Vietnamese",Zombies;Co-op;Multiplayer,55227,10.0
