appid,1980s,1990s,2.5d,2d,3d,3d_platformer,3d_vision,4x,action,action_rpg,action_adventure,addictive,adventure,aliens,alternate_history,animation_&_modeling,anime,arena_shooter,assassin,atmospheric,base_building,based_on_a_novel,benchmark,boomer_shooter,building,bullet_time,cartoon,cartoony,casual,character_customization,cinematic,city_builder,class_based,classic,co_op,collectathon,comedy,competitive,conspiracy,controller,crafting,crime,cult_classic,cute,cyberpunk,dark,dark_comedy,dark_fantasy,dark_humor,demons,difficult,diplomacy,dystopian_,economy,epic,episodic,exploration,fps,family_friendly,fantasy,fast_paced,female_protagonist,fighting,first_person,free_to_play,funny,futuristic,games_workshop,gore,grand_strategy,great_soundtrack,hack_and_slash,hentai,hero_shooter,historical,horror,immersive,immersive_sim,indie,inventory_management,isometric,level_editor,local_co_op,local_multiplayer,moba,magic,management,massively_multiplayer,masterpiece,medieval,memes,military,mod,moddable,movie,multiplayer,multiple_endings,mystery,nostalgia,old_school,online_co_op,open_world,physics,platformer,post_apocalyptic,psychological,psychological_horror,puzzle,puzzle_platformer,pve,pvp,rpg,rts,real_time_tactics,real_time,realistic,remake,replay_value,resource_management,retro,robots,rome,sandbox,sci_fi,science,score_attack,sexual_content,shooter,short,silent_protagonist,simulation,singleplayer,software,space,sports,stealth,story_rich,strategy,stylized,surreal,survival,survival_horror,swordplay,tactical,tanks,team_based,third_person,third_person_shooter,top_down,top_down_shooter,touch_friendly,tower_defense,trading,turn_based,turn_based_strategy,video_production,violent,war,warhammer_40k,world_war_i,world_war_ii,zombies,e_sports
10,276,1230,0,0,0,0,0,0,5470,0,0,0,0,0,0,0,0,0,237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2819,0,0,0,1631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4896,0,0,0,0,0,1736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,646,0,0,0,3442,0,0,179,806,0,0,0,0,0,0,0,0,0,0,907,0,0,0,0,0,0,0,0,0,0,0,0,0,0,296,0,3392,0,0,0,0,0,0,0,0,0,630,0,0,312,0,0,1370,0,1896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1215
20,0,157,0,0,0,0,0,0,763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,195,252,98,0,0,82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,327,0,0,72,0,0,186,0,39,0,0,0,0,0,0,0,223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,277,0,0,0,121,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,68,0,0,0,0,0,0,0,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,201,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
30,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,129,36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,0,0,0,0,798,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,212,0,0,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,193,0,0,0,43,0,0,0,0,0,15,0,0,0,0,0,45,0,137,0,0,0,0,0,0,0,0,0,0,0,158,0,12,269,0,0
40,0,14,0,0,0,0,0,0,635,0,0,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,15,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,150,0,0,23,0,0,80,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,106,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,36,0,0,0,100,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
50,0,157,0,0,0,0,0,0,349,0,0,0,135,202,0,0,0,0,0,123,0,0,0,0,0,0,0,0,0,0,0,0,0,280,42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,915,0,0,0,0,0,213,0,0,0,0,56,0,72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0,274,0,0,0,242,0,89,0,253,0,0,0,0,95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,0,0,0,0,29,0,0,0,590,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,0,0,0,22,29,0,0,0,25,0,38,0,0,0,0,0,0,0,0,0,0,0,0,133,0,0,0,0,0,85,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,116,0,0,0,27,0,0,0,31,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,59,0,0,0,57,0,0,0,0,0,46,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
70,0,1899,0,0,0,0,0,0,1868,0,1787,0,1799,1852,0,0,0,0,0,1836,0,0,0,0,0,0,0,0,0,0,0,0,0,1908,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1769,0,0,0,0,0,0,2408,0,0,0,0,0,1866,0,0,0,0,1797,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808,0,1895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1745,0,0,0,0,0,0,0,0,1794,0,0,0,1896,0,0,0,1871,0,1844,0,1896,0,0,0,0,1848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
80,0,0,0,0,0,0,0,0,1376,0,0,0,87,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,402,0,0,0,310,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,1039,0,0,0,0,0,476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,186,0,0,0,631,0,0,0,57,180,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,767,0,0,35,418,0,0,0,0,0,176,0,0,66,0,0,381,0,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,0,0,0,0,0,0,0,0,1339,0,0,0,83,0,0,0,0,0,0,56,0,0,0,0,0,0,0,0,0,0,0,0,0,379,0,0,0,288,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,979,0,0,0,0,0,435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,0,0,151,0,0,0,582,0,0,0,0,162,51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,723,0,0,38,360,0,0,0,0,0,173,0,0,73,0,0,355,0,303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
130,0,93,0,0,0,0,0,0,304,0,0,0,103,174,0,0,0,0,0,85,0,0,0,0,0,0,0,0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,484,0,0,0,0,0,157,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,23,0,0,0,0,0,0,0,36,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,234,0,0,0,190,91,66,0,213,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110,0
