appid,name,release_date,english,developer,publisher,platforms,required_age,categories,genres,tags,positive_ratings,negative_ratings,total reviews,review_rating,average_playtime,median_playtime,owners,price
20,Team Fortress Classic,1999-04-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Valve Anti-Cheat enabled;Remote Play Together;Family Sharing,Action,Action;FPS;Multiplayer,7032,1065,8097,9.0,68,20,5000000-10000000,4.29
30,Day of Defeat,2003-05-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled;Family Sharing,Action,FPS;World War II;Multiplayer,6062,667,6729,9.0,619,29,5000000-10000000,4.29
40,Deathmatch Classic,2001-06-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;PvP;Online PvP;Shared/Split Screen PvP;Valve Anti-Cheat enabled;Remote Play Together;Family Sharing,Action,Action;FPS;Classic,2423,514,2937,8.0,15,13,5000000-10000000,4.29
50,Half-Life: Opposing Force,1999-11-01,1,Gearbox Software,Valve,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled;Remote Play Together;Family Sharing,Action,FPS;Action;Classic,20819,1061,21880,10.0,215,94,2000000-5000000,4.29
60,Ricochet,2000-11-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;PvP;Online PvP;Valve Anti-Cheat enabled;Family Sharing,Action,Action;FPS;Multiplayer,4617,993,5610,8.0,7,2,5000000-10000000,4.29
70,Half-Life,1998-11-08,1,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;PvP;Online PvP;Full controller support;Steam Cloud;Valve Anti-Cheat enabled;Remote Play on Phone;Remote Play on Tablet;Remote Play Together;Family Sharing,Action,FPS;Classic;1990's,121126,4283,125409,10.0,364,123,10000000-20000000,7.19
80,Counter-Strike: Condition Zero,2004-03-01,1,Valve,Valve,windows;mac;linux,0,Single-player;Multi-player;Valve Anti-Cheat enabled;Family Sharing,Action,Action;FPS;Shooter,22612,2149,24761,9.0,426,33,5000000-10000000,7.19
130,Half-Life: Blue Shift,2001-06-01,1,Gearbox Software,Valve,windows;mac;linux,0,Single-player;Remote Play Together;Family Sharing,Action,FPS;Action;Sci-fi,14752,1275,16027,9.0,273,76,5000000-10000000,4.29
220,Half-Life 2,2004-11-16,1,Valve,Valve,windows;mac;linux,0,Single-player;Steam Achievements;Full controller support;Steam Trading Cards;Captions available;Steam Cloud;Includes Source SDK;Remote Play on Phone;Remote Play on Tablet;Remote Play Together;Family Sharing,Action,FPS;Action;Sci-fi,186154,4540,190694,10.0,654,278,5000000-10000000,8.5
240,Counter-Strike: Source,2004-11-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Cloud;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Family Sharing,Action,Shooter;FPS;Action,163149,6282,169431,10.0,6257,336,10000000-20000000,8.5
280,Half-Life: Source,2004-06-01,1,Valve,Valve,windows;mac;linux,0,Single-player;Remote Play Together;Family Sharing,Action,FPS;Action;Classic,10496,4519,15015,7.0,179,53,2000000-5000000,8.5
300,Day of Defeat: Source,2010-07-12,1,Valve,Valve,windows;mac;linux,0,Multi-player;Cross-Platform Multiplayer;Steam Achievements;Steam Trading Cards;Valve Anti-Cheat enabled;Stats;Includes Source SDK;Family Sharing,Action,FPS;World War II;Multiplayer,19696,1804,21500,9.0,1031,171,5000000-10000000,8.5
320,Half-Life 2: Deathmatch,2004-11-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled;Includes Source SDK;Family Sharing,Action,Action;FPS;Multiplayer,11529,1180,12709,9.0,362,56,10000000-20000000,4.29
360,Half-Life Deathmatch: Source,2006-05-01,1,Valve,Valve,windows;mac;linux,0,Multi-player;Valve Anti-Cheat enabled;Family Sharing,Action,Action;FPS;Multiplayer,3005,1045,4050,7.0,23,8,5000000-10000000,8.5
